

DFF 1 >>>>>>>>>>>>>>

X = 0.1, EPS = 1, u^k(x) = 0
X = 0.2, EPS = 1, u^k(x) = 0
X = 0.3, EPS = 1, u^k(x) = 0
X = 0.1, EPS = 1, u^k(x) = 0
X = 0, EPS = 1, u^k(x) = 0
X = 0, EPS = 1, u^k(x) = 0
X = 0.1, EPS = 1, u^k(x) = 0
X = 0.4, EPS = 1, u^k(x) = 0
X = 0.3, EPS = 1, u^k(x) = 0
X = 0.3, EPS = 1, u^k(x) = 0
X = 0.2, EPS = 1, u^k(x) = 0
X = 0.1, EPS = 1, u^k(x) = 0
X = 0, EPS = 1, u^k(x) = 0
X = 0, EPS = 1, u^k(x) = 0
X = 0.0625, EPS = 1, u^k(x) = 0
X = 0.375, EPS = 1, u^k(x) = 0
X = 0.1875, EPS = 1, u^k(x) = 0
X = 0.4375, EPS = 1, u^k(x) = 0
X = 0.375, EPS = 1, u^k(x) = 0
X = 0.125, EPS = 1, u^k(x) = 0
X = 0.3125, EPS = 1, u^k(x) = 0
X = 0.3125, EPS = 1, u^k(x) = 0
X = 0.1875, EPS = 1, u^k(x) = 0
X = 0.25, EPS = 1, u^k(x) = 0
X = 0.25, EPS = 1, u^k(x) = 0
X = 0.1875, EPS = 1, u^k(x) = 0
X = 0.1875, EPS = 1, u^k(x) = 0
X = 0.0625, EPS = 1, u^k(x) = 0
X = 0.1875, EPS = 1, u^k(x) = 0
X = 0.3125, EPS = 1, u^k(x) = 0
X = 0, EPS = 1, u^k(x) = 0
X = 0, EPS = 1, u^k(x) = 0

X = 0.1, EPS = 2, u^k(x) = 0
X = 0.2, EPS = 2, u^k(x) = 0
X = 0.3, EPS = 2, u^k(x) = 0
X = 0.1, EPS = 2, u^k(x) = 0
X = 0, EPS = 2, u^k(x) = 0
X = 0, EPS = 2, u^k(x) = 0
X = 0.1, EPS = 2, u^k(x) = 0
X = 0.4, EPS = 2, u^k(x) = 0.5
X = 0.3, EPS = 2, u^k(x) = 0
X = 0.3, EPS = 2, u^k(x) = 0
X = 0.2, EPS = 2, u^k(x) = 0
X = 0.1, EPS = 2, u^k(x) = 0
X = 0, EPS = 2, u^k(x) = 0
X = 0, EPS = 2, u^k(x) = 0
X = 0.0625, EPS = 2, u^k(x) = 0
X = 0.375, EPS = 2, u^k(x) = 0.5
X = 0.1875, EPS = 2, u^k(x) = 0
X = 0.4375, EPS = 2, u^k(x) = 0.5
X = 0.375, EPS = 2, u^k(x) = 0.5
X = 0.125, EPS = 2, u^k(x) = 0
X = 0.3125, EPS = 2, u^k(x) = 0
X = 0.3125, EPS = 2, u^k(x) = 0
X = 0.1875, EPS = 2, u^k(x) = 0
X = 0.25, EPS = 2, u^k(x) = 0
X = 0.25, EPS = 2, u^k(x) = 0
X = 0.1875, EPS = 2, u^k(x) = 0
X = 0.1875, EPS = 2, u^k(x) = 0
X = 0.0625, EPS = 2, u^k(x) = 0
X = 0.1875, EPS = 2, u^k(x) = 0
X = 0.3125, EPS = 2, u^k(x) = 0
X = 0, EPS = 2, u^k(x) = 0
X = 0, EPS = 2, u^k(x) = 0

X = 0.1, EPS = 3, u^k(x) = 0
X = 0.2, EPS = 3, u^k(x) = 0
X = 0.3, EPS = 3, u^k(x) = 0.3333333
X = 0.1, EPS = 3, u^k(x) = 0
X = 0, EPS = 3, u^k(x) = 0
X = 0, EPS = 3, u^k(x) = 0
X = 0.1, EPS = 3, u^k(x) = 0
X = 0.4, EPS = 3, u^k(x) = 0.3333333
X = 0.3, EPS = 3, u^k(x) = 0.3333333
X = 0.3, EPS = 3, u^k(x) = 0.3333333
